Mass 1: 5.044511E12 kg
Diameter 1: 8.0912695 m
Mass 2: 4.968899E12 kg
Diameter 2: 8.010815 m

Time (s)	Distance (m)	Gravitational Force (MN)
1.77		309.41		17190.70
1.78		309.39		17193.20
1.78		309.37		17195.70
1.79		309.34		17198.21
1.80		309.32		17200.73
1.81		309.30		17203.27
1.82		309.28		17205.80
1.83		309.25		17208.36
1.83		309.23		17210.92
1.84		309.21		17213.50
1.85		309.18		17216.08
1.86		309.16		17218.68
1.86		309.14		17221.28
1.88		309.11		17223.91
1.88		309.09		17226.53
1.89		309.07		17229.19
1.90		309.04		17231.84
1.91		309.02		17234.52
1.91		308.99		17237.20
1.93		308.97		17239.92
1.94		308.95		17242.64
1.94		308.92		17245.37
1.95		308.90		17248.11
1.96		308.87		17250.86
1.97		308.85		17253.63
1.98		308.82		17256.39
1.99		308.80		17259.17
1.99		308.77		17261.96
2.00		308.75		17264.76
2.01		308.72		17267.57
2.02		308.70		17270.39
2.02		308.67		17273.22
2.04		308.65		17276.06
2.04		308.62		17278.90
2.05		308.60		17281.77
2.06		308.57		17284.64
2.07		308.54		17287.54
2.07		308.52		17290.43
2.09		308.49		17293.35
2.09		308.47		17296.28
2.10		308.44		17299.23
2.11		308.41		17302.20
2.12		308.39		17305.17
2.13		308.36		17308.15
2.14		308.33		17311.15
2.14		308.31		17314.15
2.15		308.28		17317.16
2.16		308.25		17320.18
2.17		308.23		17323.21
2.18		308.20		17326.25
2.18		308.17		17329.30
2.19		308.15		17332.37
2.20		308.12		17335.44
2.21		308.09		17338.52
2.22		308.06		17341.61
2.23		308.04		17344.72
2.23		308.01		17347.84
2.24		307.98		17350.97
2.25		307.95		17354.11
2.26		307.92		17357.27
2.26		307.90		17360.43
2.28		307.87		17363.62
2.28		307.84		17366.81
2.29		307.81		17370.03
2.30		307.78		17373.25
2.31		307.75		17376.49
2.31		307.73		17379.75
2.33		307.70		17383.03
2.34		307.67		17386.32
2.34		307.64		17389.62
2.35		307.61		17392.93
2.36		307.58		17396.25
2.37		307.55		17399.59
2.38		307.52		17402.93
2.39		307.49		17406.28
2.39		307.46		17409.64
2.40		307.43		17413.02
2.41		307.40		17416.40
2.42		307.37		17419.80
2.42		307.34		17423.20
2.44		307.31		17426.62
2.44		307.28		17430.05
2.45		307.25		17433.50
2.46		307.22		17436.95
2.47		307.19		17440.43
2.47		307.16		17443.90
2.49		307.13		17447.41
2.49		307.10		17450.92
2.50		307.07		17454.45
2.50		307.03		17457.99
2.52		307.00		17461.56
2.53		306.97		17465.14
2.54		306.94		17468.73
2.54		306.91		17472.34
2.55		306.88		17475.94
2.56		306.85		17479.57
2.57		306.81		17483.20
2.58		306.78		17486.84
2.58		306.75		17490.49
2.59		306.72		17494.15
2.60		306.69		17497.83
2.61		306.65		17501.51
2.62		306.62		17505.21
2.63		306.59		17508.92
2.63		306.56		17512.64
2.64		306.52		17516.38
2.65		306.49		17520.12
2.66		306.46		17523.89
2.66		306.42		17527.66
2.68		306.39		17531.46
2.68		306.36		17535.26
2.69		306.32		17539.08
2.70		306.29		17542.91
2.71		306.26		17546.77
2.71		306.22		17550.63
2.73		306.19		17554.53
2.74		306.16		17558.44
2.74		306.12		17562.35
2.75		306.09		17566.28
2.76		306.05		17570.21
2.77		306.02		17574.16
2.78		305.98		17578.12
2.79		305.95		17582.09
2.79		305.91		17586.06
2.80		305.88		17590.06
2.81		305.85		17594.05
2.82		305.81		17598.07
2.82		305.78		17602.09
2.84		305.74		17606.14
2.84		305.71		17610.18
2.85		305.67		17614.25
2.86		305.63		17618.33
2.87		305.60		17622.43
2.87		305.56		17626.53
2.89		305.53		17630.66
2.89		305.49		17634.79
2.90		305.46		17638.96
2.91		305.42		17643.13
2.92		305.38		17647.32
2.93		305.35		17651.52
2.94		305.31		17655.72
2.94		305.27		17659.94
2.95		305.24		17664.17
2.96		305.20		17668.41
2.97		305.16		17672.66
2.98		305.13		17676.92
2.98		305.09		17681.19
2.99		305.05		17685.47
3.00		305.02		17689.77
3.01		304.98		17694.07
3.02		304.94		17698.39
3.03		304.91		17702.72
3.03		304.87		17707.06
3.04		304.83		17711.43
3.05		304.79		17715.79
3.06		304.75		17720.18
3.06		304.72		17724.57
3.08		304.68		17729.00
3.08		304.64		17733.42
3.09		304.60		17737.87
3.10		304.56		17742.33
3.11		304.53		17746.82
3.11		304.49		17751.31
3.13		304.45		17755.83
3.14		304.41		17760.37
3.14		304.37		17764.91
3.15		304.33		17769.47
3.16		304.29		17774.04
3.17		304.25		17778.62
3.18		304.21		17783.21
3.19		304.17		17787.81
3.19		304.14		17792.42
3.20		304.10		17797.05
3.21		304.06		17801.68
3.22		304.02		17806.33
3.22		303.98		17810.99
3.24		303.94		17815.67
3.24		303.90		17820.35
3.25		303.86		17825.06
3.26		303.82		17829.77
3.27		303.78		17834.50
3.27		303.74		17839.24
3.29		303.70		17844.01
3.29		303.65		17848.79
3.30		303.61		17853.59
3.31		303.57		17858.41
3.32		303.53		17863.23
3.33		303.49		17868.07
3.34		303.45		17872.92
3.34		303.41		17877.79
3.35		303.37		17882.66
3.36		303.33		17887.54
3.37		303.28		17892.43
3.38		303.24		17897.34
3.38		303.20		17902.26
3.39		303.16		17907.19
3.40		303.12		17912.13
3.41		303.08		17917.08
3.42		303.03		17922.05
3.43		302.99		17927.03
3.43		302.95		17932.02
3.44		302.91		17937.03
3.45		302.86		17942.05
3.46		302.82		17947.09
3.46		302.78		17952.13
3.48		302.74		17957.20
3.48		302.69		17962.28
3.49		302.65		17967.39
3.50		302.61		17972.49
3.51		302.56		17977.64
3.51		302.52		17982.78
3.53		302.48		17987.96
3.54		302.43		17993.16
3.54		302.39		17998.36
3.55		302.35		18003.58
3.56		302.30		18008.80
3.57		302.26		18014.04
3.58		302.21		18019.29
3.59		302.17		18024.56
3.59		302.13		18029.83
3.60		302.08		18035.12
3.61		302.04		18040.41
3.62		301.99		18045.73
3.62		301.95		18051.05
3.64		301.90		18056.39
3.64		301.86		18061.74
3.65		301.81		18067.11
3.66		301.77		18072.49
3.67		301.72		18077.89
3.67		301.68		18083.30
3.69		301.63		18088.74
3.69		301.59		18094.18
3.70		301.54		18099.66
3.71		301.50		18105.15
3.72		301.45		18110.65
3.73		301.41		18116.16
3.74		301.36		18121.69
3.74		301.31		18127.23
3.75		301.27		18132.78
3.76		301.22		18138.34
3.77		301.18		18143.91
3.78		301.13		18149.50
3.78		301.08		18155.10
3.79		301.04		18160.71
3.80		300.99		18166.33
3.81		300.94		18171.97
3.82		300.90		18177.62
3.83		300.85		18183.29
3.83		300.80		18188.97
3.84		300.75		18194.67
3.85		300.71		18200.37
3.86		300.66		18206.10
3.86		300.61		18211.84
3.88		300.57		18217.61
3.88		300.52		18223.38
3.89		300.47		18229.18
3.90		300.42		18234.98
3.91		300.37		18240.82
3.92		300.33		18246.68
3.93		300.28		18252.54
3.94		300.23		18258.42
3.94		300.18		18264.31
3.95		300.13		18270.22
3.96		300.08		18276.13
3.97		300.04		18282.07
3.98		299.99		18288.01
3.99		299.94		18293.96
3.99		299.89		18299.93
4.00		299.84		18305.92
4.01		299.79		18311.91
4.02		299.74		18317.93
4.02		299.69		18323.95
4.04		299.64		18329.99
4.04		299.59		18336.05
4.05		299.54		18342.13
4.06		299.49		18348.21
4.07		299.44		18354.32
4.07		299.39		18360.44
4.09		299.34		18366.60
4.09		299.29		18372.75
4.10		299.24		18378.94
4.10		299.19		18385.14
4.12		299.14		18391.37
4.13		299.09		18397.62
4.14		299.04		18403.88
4.14		298.99		18410.16
4.15		298.94		18416.45
4.16		298.89		18422.75
4.17		298.84		18429.06
4.18		298.78		18435.39
4.18		298.73		18441.73
4.19		298.68		18448.10
4.20		298.63		18454.46
4.21		298.58		18460.86
4.22		298.53		18467.25
4.23		298.48		18473.68
4.23		298.42		18480.11
4.24		298.37		18486.57
4.25		298.32		18493.03
4.26		298.27		18499.53
4.26		298.21		18506.02
4.28		298.16		18512.56
4.28		298.11		18519.10
4.29		298.06		18525.67
4.30		298.00		18532.25
4.31		297.95		18538.87
4.32		297.90		18545.50
4.33		297.84		18552.15
4.34		297.79		18558.81
4.34		297.74		18565.48
4.35		297.68		18572.18
4.36		297.63		18578.88
4.37		297.57		18585.60
4.38		297.52		18592.33
4.39		297.47		18599.09
4.39		297.41		18605.85
4.40		297.36		18612.63
4.41		297.30		18619.43
4.42		297.25		18626.25
4.42		297.20		18633.07
4.44		297.14		18639.93
4.44		297.09		18646.79
4.45		297.03		18653.69
4.46		296.98		18660.58
4.47		296.92		18667.52
4.47		296.87		18674.46
4.49		296.81		18681.43
4.49		296.76		18688.41
4.50		296.70		18695.43
4.50		296.64		18702.46
4.52		296.59		18709.53
4.53		296.53		18716.61
4.54		296.48		18723.71
4.54		296.42		18730.83
4.55		296.36		18737.96
4.56		296.31		18745.11
4.57		296.25		18752.27
4.58		296.19		18759.46
4.58		296.14		18766.65
4.59		296.08		18773.86
4.60		296.02		18781.09
4.61		295.97		18788.34
4.62		295.91		18795.60
4.63		295.85		18802.89
4.63		295.79		18810.19
4.64		295.74		18817.51
4.65		295.68		18824.85
4.66		295.62		18832.22
4.66		295.56		18839.59
4.68		295.50		18847.01
4.68		295.45		18854.42
4.69		295.39		18861.89
4.70		295.33		18869.35
4.71		295.27		18876.87
4.72		295.21		18884.40
4.73		295.15		18891.94
4.74		295.09		18899.51
4.74		295.03		18907.09
4.75		294.97		18914.68
4.76		294.92		18922.30
4.77		294.86		18929.93
4.78		294.80		18937.58
4.79		294.74		18945.25
4.79		294.68		18952.92
4.80		294.62		18960.63
4.81		294.56		18968.35
4.82		294.50		18976.09
4.82		294.44		18983.85
4.84		294.38		18991.64
4.84		294.32		18999.43
4.85		294.26		19007.26
4.86		294.20		19015.10
4.87		294.13		19022.98
4.87		294.07		19030.87
4.89		294.01		19038.80
4.89		293.95		19046.74
4.90		293.89		19054.72
4.90		293.83		19062.72
4.92		293.77		19070.76
4.93		293.70		19078.82
4.94		293.64		19086.90
4.94		293.58		19095.00
4.95		293.52		19103.12
4.96		293.45		19111.26
4.97		293.39		19119.41
4.98		293.33		19127.59
4.98		293.27		19135.78
4.99		293.20		19144.00
5.00		293.14		19152.23
5.01		293.08		19160.49
5.02		293.01		19168.76
5.03		292.95		19177.07
5.03		292.89		19185.39
5.04		292.82		19193.74
5.05		292.76		19202.11
5.06		292.69		19210.52
