Mass: 5.082878E12 kg
Diameter: 8.279641 m

Time (s)	Acceleration (m/s²)	Velocity (m/s)	Position (m, m)		Forces felt (MN)
0.82		0.90			0.63		(662.07, 88.67)		4455857.29
0.82		0.90			1.73		(662.07, 88.68)		4458050.55
0.84		0.90			0.61		(662.07, 88.69)		4460309.77
0.84		0.90			2.09		(662.08, 88.69)		4462621.78
0.85		0.90			0.59		(662.08, 88.70)		4465005.80
0.86		0.90			2.58		(662.08, 88.71)		4467446.63
0.87		0.90			0.58		(662.08, 88.72)		4469966.03
0.87		0.90			3.34		(662.08, 88.72)		4472546.68
0.89		0.90			0.56		(662.08, 88.73)		4475213.10
0.89		0.90			3.90		(662.08, 88.74)		4477945.54
0.90		0.90			0.57		(662.08, 88.75)		4480769.02
0.90		0.90			5.51		(662.08, 88.76)		4483662.88
0.92		0.90			0.56		(662.08, 88.77)		4486654.43
0.93		0.91			1.03		(662.08, 88.77)		4489728.05
0.94		0.91			1.08		(662.08, 88.78)		4492885.19
0.94		0.91			0.99		(662.08, 88.79)		4496129.00
0.95		0.91			1.20		(662.08, 88.80)		4499458.36
0.96		0.91			0.93		(662.08, 88.81)		4502877.95
0.97		0.91			1.24		(662.08, 88.82)		4506382.95
0.98		0.91			0.94		(662.08, 88.83)		4509977.57
0.98		0.91			1.38		(662.08, 88.84)		4513656.03
0.99		0.91			0.89		(662.08, 88.84)		4517423.97
1.00		0.91			1.78		(662.08, 88.85)		4521270.55
1.01		0.91			0.79		(662.09, 88.86)		4525204.11
1.02		0.91			1.79		(662.09, 88.87)		4529196.36
1.03		0.91			0.82		(662.09, 88.88)		4533220.67
1.03		0.92			2.07		(662.09, 88.89)		4537237.13
1.04		0.92			0.78		(662.09, 88.90)		4541267.89
1.05		0.92			2.93		(662.09, 88.91)		4545322.81
1.06		0.92			0.71		(662.09, 88.92)		4549414.84
1.06		0.92			4.32		(662.09, 88.93)		4553524.27
1.08		0.92			0.70		(662.09, 88.94)		4557674.63
1.08		0.92			3.82		(662.09, 88.95)		4561844.27
1.09		0.92			0.71		(662.09, 88.96)		4566056.43
1.10		0.92			5.52		(662.09, 88.97)		4570291.21
1.11		0.92			0.69		(662.09, 88.98)		4574575.50
1.12		0.92			1.24		(662.09, 88.99)		4578895.80
1.13		0.92			1.26		(662.09, 89.00)		4583256.14
1.14		0.93			1.25		(662.09, 89.01)		4587661.67
1.14		0.93			1.27		(662.09, 89.02)		4592117.93
1.15		0.93			1.25		(662.10, 89.03)		4596631.98
1.16		0.93			1.38		(662.10, 89.04)		4601210.12
1.17		0.93			1.20		(662.10, 89.05)		4605872.70
1.18		0.93			1.72		(662.10, 89.06)		4610625.80
1.19		0.93			1.04		(662.10, 89.07)		4615478.02
1.19		0.93			1.77		(662.10, 89.08)		4620433.81
1.20		0.93			1.05		(662.10, 89.10)		4625515.40
1.21		0.93			2.01		(662.10, 89.11)		4630729.12
1.22		0.94			0.99		(662.10, 89.12)		4636100.48
1.22		0.94			2.77		(662.10, 89.13)		4641634.76
1.24		0.94			0.90		(662.10, 89.14)		4647366.42
1.24		0.94			3.30		(662.10, 89.15)		4653299.48
1.25		0.94			0.87		(662.10, 89.16)		4659473.50
1.26		0.94			3.28		(662.10, 89.17)		4665893.47
1.27		0.94			0.88		(662.10, 89.19)		4672601.72
1.27		0.94			4.21		(662.11, 89.20)		4679605.52
1.29		0.95			0.85		(662.11, 89.21)		4686951.97
1.29		0.95			5.49		(662.11, 89.22)		4694648.27
1.30		0.95			0.83		(662.11, 89.23)		4702745.96
1.30		0.95			7.93		(662.11, 89.25)		4711252.28
1.32		0.95			0.81		(662.11, 89.26)		4720223.01
1.33		0.95			1.48		(662.11, 89.27)		4729630.08
1.34		0.96			1.49		(662.11, 89.28)		4739515.37
1.34		0.96			1.48		(662.11, 89.29)		4749960.60
1.35		0.96			1.61		(662.11, 89.31)		4761027.18
1.36		0.96			1.37		(662.11, 89.32)		4772742.19
1.37		0.97			1.86		(662.11, 89.33)		4785124.29
1.38		0.97			1.31		(662.11, 89.34)		4798199.02
1.38		0.97			2.03		(662.11, 89.36)		4811976.94
1.39		0.97			1.25		(662.11, 89.37)		4826476.62
1.40		0.98			2.24		(662.12, 89.38)		4841694.95
1.41		0.98			1.20		(662.12, 89.40)		4857637.93
1.42		0.98			2.52		(662.12, 89.41)		4874280.51
1.43		0.99			1.15		(662.12, 89.42)		4891600.72
1.43		0.99			2.89		(662.12, 89.44)		4909534.35
1.44		0.99			1.09		(662.12, 89.45)		4928018.07
1.45		1.00			3.53		(662.12, 89.46)		4946927.48
1.46		1.00			1.05		(662.12, 89.48)		4966128.92
1.46		1.01			5.15		(662.12, 89.49)		4985404.70
1.48		1.01			0.98		(662.12, 89.50)		5004512.87
1.48		1.01			6.89		(662.12, 89.52)		5023095.13
1.49		1.02			0.95		(662.12, 89.53)		5040745.18
1.50		1.02			10.21		(662.12, 89.54)		5056904.79
1.51		1.02			0.93		(662.12, 89.56)		5070938.24
1.52		1.02			1.72		(662.13, 89.57)		5082026.45
1.53		1.03			1.72		(662.13, 89.59)		5089210.25
1.54		1.03			1.71		(662.13, 89.60)		5091364.71
1.54		1.03			1.86		(662.13, 89.62)		5087199.49
1.55		1.02			1.63		(662.13, 89.63)		5075280.52
1.56		1.02			2.11		(662.13, 89.65)		5054061.97
1.57		1.01			1.49		(662.13, 89.66)		5021964.54
1.58		1.00			2.38		(662.13, 89.67)		4977464.61
1.59		0.99			1.43		(662.13, 89.69)		4919251.37
1.59		0.98			2.63		(662.13, 89.70)		4846383.79
1.60		0.96			1.35		(662.13, 89.72)		4758504.32
1.61		0.94			3.01		(662.13, 89.73)		4656014.30
1.62		0.92			1.28		(662.13, 89.75)		4540250.63
1.62		0.89			3.61		(662.13, 89.76)		4413515.96
1.64		0.86			1.23		(662.13, 89.78)		4279149.17
1.64		0.84			4.17		(662.13, 89.79)		4141342.32
1.65		0.81			1.17		(662.13, 89.81)		4004845.10
1.66		0.78			5.26		(662.13, 89.83)		3874551.07
1.67		0.76			1.13		(662.13, 89.84)		3755053.96
1.67		0.74			6.69		(662.13, 89.86)		3650224.19
1.69		0.72			1.09		(662.13, 89.87)		3562869.88
1.69		0.70			9.64		(662.13, 89.89)		3494531.54
1.70		0.69			1.06		(662.13, 89.90)		3445482.18
1.70		0.69			14.05		(662.13, 89.92)		3414846.95
1.72		0.69			1.02		(662.13, 89.94)		3400917.32
1.73		0.69			1.94		(662.13, 89.95)		3401410.93
1.74		0.69			1.99		(662.13, 89.97)		3413821.77
1.74		0.69			1.89		(662.13, 89.98)		3435660.09
1.75		0.70			2.16		(662.13, 90.00)		3464615.10
1.76		0.71			1.77		(662.13, 90.02)		3498662.56
1.77		0.71			2.49		(662.13, 90.03)		3536090.69
1.78		0.72			1.60		(662.13, 90.05)		3575524.94
1.78		0.73			2.81		(662.13, 90.07)		3615866.75
1.79		0.74			1.51		(662.13, 90.08)		3656296.30
1.80		0.75			3.25		(662.13, 90.10)		3696185.41
1.81		0.75			1.43		(662.13, 90.11)		3735103.25
1.82		0.76			3.74		(662.13, 90.13)		3772732.01
1.83		0.77			1.36		(662.13, 90.15)		3808887.46
1.83		0.78			3.77		(662.13, 90.16)		3843438.43
1.84		0.78			1.37		(662.13, 90.18)		3876343.77
1.85		0.79			4.44		(662.13, 90.20)		3907576.53
1.86		0.79			1.32		(662.13, 90.21)		3937175.20
1.86		0.80			5.34		(662.13, 90.23)		3965163.99
1.88		0.81			1.27		(662.13, 90.25)		3991622.99
1.88		0.81			6.78		(662.13, 90.27)		4016598.31
1.89		0.81			1.22		(662.13, 90.28)		4040188.63
1.90		0.82			9.29		(662.13, 90.30)		4062444.15
1.91		0.82			1.18		(662.13, 90.32)		4083470.56
1.91		0.83			14.38		(662.14, 90.34)		4103314.47
1.93		0.83			1.13		(662.14, 90.35)		4122082.29
1.94		0.83			2.12		(662.14, 90.37)		4139820.22
1.94		0.84			2.19		(662.14, 90.39)		4156594.24
1.95		0.84			2.07		(662.14, 90.41)		4172469.15
1.96		0.84			2.42		(662.14, 90.42)		4187501.92
1.97		0.85			1.95		(662.14, 90.44)		4201752.60
1.98		0.85			2.63		(662.14, 90.46)		4215267.71
1.99		0.85			1.85		(662.14, 90.48)		4228102.86
1.99		0.86			2.97		(662.14, 90.50)		4240295.01
2.00		0.86			1.72		(662.14, 90.51)		4251897.16
2.01		0.86			2.19		(662.14, 90.53)		4262942.28
2.02		0.86			2.18		(662.14, 90.55)		4273467.01
2.02		0.86			3.73		(662.14, 90.57)		4283501.61
2.04		0.87			1.57		(662.14, 90.59)		4292889.87
2.04		0.87			5.11		(662.14, 90.61)		4294090.88
2.05		0.87			1.42		(662.14, 90.62)		4295323.70
2.06		0.87			5.31		(662.14, 90.64)		4296563.62
2.07		0.87			1.42		(662.14, 90.66)		4297834.94
2.07		0.87			8.38		(662.14, 90.68)		4299111.54
2.09		0.87			1.31		(662.14, 90.70)		4300424.25
2.09		0.87			11.88		(662.14, 90.72)		4301741.40
2.10		0.87			1.27		(662.14, 90.74)		4303097.23
2.11		0.87			2.30		(662.14, 90.76)		4304467.43
2.12		0.87			2.31		(662.14, 90.78)		4305851.74
2.13		0.87			2.31		(662.14, 90.80)		4307249.99
2.14		0.87			2.42		(662.14, 90.82)		4308661.04
2.14		0.87			2.25		(662.14, 90.83)		4310086.33
2.15		0.87			2.65		(662.14, 90.85)		4311523.56
2.16		0.87			2.10		(662.14, 90.87)		4312978.44
